"Country,""2020"",""2019"",""2018"",""2017"",""2016"",""2015"",""2014"",""2013"",""2012"",""2011"",""2010"",""2009"",""2008"",""2007"",""2006"",""2005"""
"Thailand,""0"",""0"",""1"",""1"",""0"",""1"",""0"",""2"",""5"",""1"",""2"",""1"",""4"",""2"",""1"",""No data"""
"Tunisia,""28"",""27"",""23"",""23"",""17"",""30"",""44"",""38"",""37"",""55"",""36"",""55"",""63"",""100"",""121"",""120"""
"Turkey,""No data"",""No data"",""No data"",""No data"",""23"",""23"",""22"",""33"",""13"",""30"",""36"",""23"",""13"",""41"",""20"",""32"""
"Turkmenistan,""0"",""0"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Uganda,""55"",""101"",""29"",""31"",""35"",""34"",""32"",""141"",""86"",""77"",""78"",""72"",""200"",""38"",""0"",""504"""
"Ukraine,""0"",""0"",""No data"",""0"",""1"",""0"",""0"",""0"",""2"",""1"",""1"",""No data"",""2"",""3"",""3"",""1"""
"Uruguay,""2"",""0"",""1"",""0"",""0"",""0"",""0"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
"Uzbekistan,""47"",""41"",""34"",""49"",""38"",""34"",""42"",""37"",""38"",""28"",""25"",""26"",""13"",""5"",""1"",""6"""
"Venezuela (Bolivarian Republic of),""6"",""23"",""43"",""40"",""33"",""37"",""9"",""7"",""9"",""15"",""15"",""15"",""18"",""17"",""41"",""58"""
"Yemen,""450"",""132"",""56"",""44"",""0"",""5"",""15"",""No data"",""No data"",""0"",""No data"",""0"",""No data"",""No data"",""No data"",""No data"""
"Zambia,""No data"",""No data"",""No data"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""No data"",""No data"",""No data"",""No data"",""No data"",""No data"""
